"COLLPER","SELUNIT_ID","PSUIX","SEGID","LINEID","DSCOPSTT","INITSTAT","TENURE","COUNTY","STATE","CPMOVIN","LGHOCC","RNTC","RSPCODC","t_prcuse6","NOBED","NOHBH","NOFULBH","TYSTRC","tystrc_desc","ECRNTCL","PURNTCL","Collected_Or_Imputed","LATITUDE","LONGITUDE","UTAPT","UTCITY","UTSENA","UTSENO","UTSTATE","UTZIP","Clust"
"202601",183599,"S11A","B0084",356,"I","S","R","017","MA","201709",95,2600,"02","J","3","0","1","8","Multi, 3-4 units",3056.49826854893,3074.22607815272,"Imputed",42.358234,-71.187365,"3","NEWTON CORNER","PEARL ST","49","MA","02458",3
"202601",184213,"S11A","B0117",593,"I","S","R","021","MA","202101",55,1975,"01","Y","1","0","1","2","Single Attached",1972.91940422025,1690.38247167735,"Collected",42.238614,-71.029875,"","QUINCY","FURNACE BROOK PKWY","1455","MA","02169",5
"202601",184415,"S11A","B0127",1221,"I","S","R","023","MA","202312",20,1230,"01","Y","1","0","1","7","Multi, 2 units",1293.59518409034,990.72243375985,"Collected",42.283763,-70.872994,"","HULL","KENBERMA ST","134A","MA","02045",5
"202601",184418,"S11A","B0127",1313,"I","S","R","023","MA","201910",70,1500,"99","J","0","0","1","10","Multi,10-19 units",2025.79699936016,1834.65837884855,"Imputed",42.283476,-70.872284,"4A","HULL","SAMOSET AVE","90","MA","02045",5
"202601",184560,"S11A","B0133",1302,"I","S","R","023","MA","202308",24,3600,"01","Y","3","1","2","2","Single Attached",3487.3054015864,3439.65975502725,"Collected",42.073383,-70.800431,"","PEMBROKE","HIGH ST","27","MA","02359",5
"202601",184695,"S11A","B0140",745,"I","S","R","023","MA","202503",5,2350,"01","Y","1","0","1","12","Multi, 50 units",2324.7962642572,2324.80355031482,"Collected",41.878093,-70.601153,"212","PLYMOUTH","PINEHILLS DR","50","MA","02360",6
"202601",184696,"S11A","B0140",773,"I","S","R","023","MA","202503",5,2489,"01","Y","1","0","1","12","Multi, 50 units",2466.65482737802,2466.73529089711,"Collected",41.878093,-70.601153,"407","PLYMOUTH","PINEHILLS DR","50","MA","02360",6
"202601",184704,"S11A","B0140",1555,"I","S","R","023","MA","202502",6,3350,"01","Y","2","1","2","12","Multi, 50 units",3327.09268600783,3327.09268600783,"Collected",41.880849,-70.603309,"","PLYMOUTH","AVALON WAY","1711","MA","02360",6
"202601",184705,"S11A","B0140",1588,"I","S","R","023","MA","202408",12,3777,"01","Y","2","1","2","12","Multi, 50 units",3446.26340170326,3446.26340170326,"Collected",41.880482,-70.6037,"","PLYMOUTH","AVALON WAY","1021","MA","02360",6
"202601",184706,"S11A","B0140",1623,"I","S","R","023","MA","202305",27,3501,"01","Y","2","0","2","8","Multi, 3-4 units",3463.66914873686,3463.66914873686,"Collected",41.879561,-70.603181,"","PLYMOUTH","AVALON WAY","221","MA","02360",6
"202601",184708,"S11A","B0140",1683,"I","S","R","023","MA","202302",30,2799,"50","V","2","0","2","12","Multi, 50 units",3011.84510803188,2757.09302318976,"Imputed",41.87765,-70.60052,"1129","PLYMOUTH","PINEHILLS DR","40","MA","02360",6
"202601",184709,"S11A","B0140",1714,"I","S","R","023","MA","202012",56,3200,"01","Y","2","0","2","12","Multi, 50 units",2737.54238773717,2737.54238773717,"Collected",41.87765,-70.60052,"1211","PLYMOUTH","PINEHILLS DR","40","MA","02360",6
"202601",184710,"S11A","B0140",1750,"I","S","R","023","MA","202007",61,2825,"01","Y","2","0","2","12","Multi, 50 units",2932.97193711892,2932.97193711892,"Collected",41.87765,-70.60052,"1302","PLYMOUTH","PINEHILLS DR","40","MA","02360",6
